Attribute,%Deaths_04,%Deaths_514,%Deaths_1549,%Deaths_5069,%Deaths_70+,HospInc_<1,HospInc_14,HospInc_514,HospInc_15+,SevHospInc_14,SevHospInc_514,SevHospInc_15+
mean,0.0154,0.0305,0.0084,0.0034,0.0008,0.0046,0.0060833,0.0014552,0.0021227,0.0022266,0.0008718,0.0012915
low (99),0.00013,0.00082,0.00021,0.000028,0.000017,0.0023,0.0034726,0.0008885,0.0012899,0.0013328,0.0005458,0.0008641
high (99),0.052,0.1099,0.0352,0.0171,0.0033,0.0092,0.0106567,0.0023833,0.0034932,0.0037199,0.0013925,0.0019305
high (95),0.0393,0.0977,0.0313,0.0152,0.0027,,,,,,,
log_low,-8.947976108,-7.106206218,-8.468403027,-10.48330605,-10.98229721,-6.074846156,-5.662851686,-7.02597591,-6.653190583,-6.620473287,-7.51325795,-7.053822055
log_high99,-2.95651156,-2.208184418,-3.346709196,-4.068676815,-5.713832811,-4.688551795,-4.541566477,-6.039269197,-5.656937057,-5.594058493,-6.576654586,-6.249976242
log_high95,-3.23653076,-2.32585372,-3.464137181,-4.186459851,-5.914503506,,,,,,,
log_mean,-6.092253434,-4.716029969,-5.966270104,-7.334882951,-8.448400358,,,,,,,
log_sd,1.385567895,1.189459999,1.246642312,1.576291623,1.241613013,,,,,,,
std err (from regression),,,,,,,0.0013241,0.0002787,0.0004105,0.0004436,0.0001585,0.0002015
std dev (trial & error to match CIs using python),0.0138,0.02913,0.0090221,0.00427,0.0009498,0.001756,,,,,,
std dev,0.0138,0.02913,0.0090221,0.00427,0.0009498,0.001756,0.0013241,0.0002787,0.0004105,0.0004436,0.0001585,0.0002015
var,0.0001913,0.0008488,8.14E-05,1.83E-05,9.02E-07,3.08E-06,1.75E-06,7.77E-08,1.69E-07,1.97E-07,2.51E-08,4.06E-08
a,0.75,1,1,0.75,0.9,8,11,13,15,14,15,21
b,60,32,110,205,1000,1600,1750,8800,6500,6000,16000,16000
mean_plus,-6.092253434,-4.716029969,-5.966270104,-7.334882951,-8.448400358,0.0046,0.0060833,0.0014552,0.0021227,0.0022266,0.0008718,0.0012915
sd_plus,1.385567895,1.189459999,1.246642312,1.576291623,1.241613013,0.001756,0.0013241,0.0002787,0.0004105,0.0004436,0.0001585,0.0002015
